Part,Question,Score,Type
Part 1,Question 1,2.5,Passive
Part 1,Question 1,2.5,Detractor
Part 1,Question 1,3.75,Passive
Part 1,Question 1,1.25,Detractor
Part 1,Question 1,2.5,Passive
Part 1,Question 1,2.5,Passive
Part 1,Question 1,3.75,Promoter
Part 1,Question 1,3.75,Passive
Part 1,Question 1,1.25,Detractor
Part 1,Question 1,2.5,Passive
Part 1,Question 1,3.75,Promoter
Part 1,Question 1,2.5,Passive
Part 1,Question 1,3.75,Passive
Part 1,Question 1,2.5,Passive
Part 1,Question 1,3.75,Passive
Part 1,Question 1,2.5,Passive
Part 1,Question 1,2.5,Passive
Part 1,Question 1,3.75,Promoter
Part 1,Question 1,2.5,Promoter
Part 1,Question 1,3.75,Passive
Part 1,Question 1,2.5,Detractor
Part 1,Question 1,3.75,Passive
Part 1,Question 1,2.5,Passive
Part 1,Question 1,2.5,Detractor
Part 1,Question 1,2.5,Passive
Part 1,Question 1,1.25,Detractor
Part 1,Question 1,2.5,Promoter
Part 1,Question 1,2.5,Passive
Part 1,Question 1,2.5,Passive
Part 1,Question 1,2.5,Promoter
Part 1,Question 1,2.5,Detractor
Part 1,Question 1,2.5,Promoter
Part 1,Question 1,3.75,Passive
Part 1,Question 1,2.5,Passive
Part 1,Question 1,1.25,Passive
Part 1,Question 1,3.75,Promoter
Part 1,Question 1,2.5,Passive
Part 1,Question 1,2.5,Passive
Part 1,Question 1,0.0,Detractor
Part 1,Question 1,1.25,Detractor
Part 1,Question 1,2.5,Promoter
Part 1,Question 1,3.75,Passive
Part 1,Question 1,2.5,Passive
Part 1,Question 1,3.75,Promoter
Part 1,Question 1,2.5,Passive
Part 1,Question 1,1.25,Passive
Part 1,Question 1,1.25,Detractor
Part 1,Question 1,2.5,Passive
Part 1,Question 1,3.75,Promoter
Part 1,Question 1,1.25,Detractor
Part 1,Question 1,3.75,Promoter
Part 1,Question 1,1.25,Detractor
Part 1,Question 1,2.5,Detractor
Part 1,Question 1,2.5,Passive
Part 1,Question 1,1.25,Passive
Part 1,Question 1,2.5,Passive
Part 1,Question 1,3.75,Promoter
Part 1,Question 1,3.75,Detractor
Part 1,Question 1,3.75,Passive
Part 1,Question 1,2.5,Passive
Part 1,Question 1,3.75,Promoter
Part 1,Question 1,1.25,Passive
Part 1,Question 1,1.25,Passive
Part 1,Question 1,2.5,Passive
Part 1,Question 2,2.5,Passive
Part 1,Question 2,3.75,Detractor
Part 1,Question 2,5.0,Passive
Part 1,Question 2,1.25,Detractor
Part 1,Question 2,3.75,Passive
Part 1,Question 2,2.5,Passive
Part 1,Question 2,5.0,Promoter
Part 1,Question 2,5.0,Passive
Part 1,Question 2,1.25,Detractor
Part 1,Question 2,2.5,Passive
Part 1,Question 2,5.0,Promoter
Part 1,Question 2,2.5,Passive
Part 1,Question 2,2.5,Passive
Part 1,Question 2,2.5,Passive
Part 1,Question 2,5.0,Passive
Part 1,Question 2,3.75,Passive
Part 1,Question 2,3.75,Passive
Part 1,Question 2,5.0,Promoter
Part 1,Question 2,5.0,Promoter
Part 1,Question 2,5.0,Passive
Part 1,Question 2,3.75,Detractor
Part 1,Question 2,5.0,Passive
Part 1,Question 2,3.75,Passive
Part 1,Question 2,3.75,Detractor
Part 1,Question 2,3.75,Passive
Part 1,Question 2,2.5,Detractor
Part 1,Question 2,3.75,Promoter
Part 1,Question 2,3.75,Passive
Part 1,Question 2,3.75,Passive
Part 1,Question 2,3.75,Promoter
Part 1,Question 2,0.0,Detractor
Part 1,Question 2,3.75,Promoter
Part 1,Question 2,5.0,Passive
Part 1,Question 2,3.75,Passive
Part 1,Question 2,2.5,Passive
Part 1,Question 2,1.25,Promoter
Part 1,Question 2,3.75,Passive
Part 1,Question 2,1.25,Passive
Part 1,Question 2,0.0,Detractor
Part 1,Question 2,1.25,Detractor
Part 1,Question 2,1.25,Promoter
Part 1,Question 2,5.0,Passive
Part 1,Question 2,3.75,Passive
Part 1,Question 2,5.0,Promoter
Part 1,Question 2,2.5,Passive
Part 1,Question 2,1.25,Passive
Part 1,Question 2,1.25,Detractor
Part 1,Question 2,2.5,Passive
Part 1,Question 2,5.0,Promoter
Part 1,Question 2,1.25,Detractor
Part 1,Question 2,3.75,Promoter
Part 1,Question 2,0.0,Detractor
Part 1,Question 2,2.5,Detractor
Part 1,Question 2,3.75,Passive
Part 1,Question 2,2.5,Passive
Part 1,Question 2,3.75,Passive
Part 1,Question 2,5.0,Promoter
Part 1,Question 2,5.0,Detractor
Part 1,Question 2,2.5,Passive
Part 1,Question 2,3.75,Passive
Part 1,Question 2,5.0,Promoter
Part 1,Question 2,2.5,Passive
Part 1,Question 2,1.25,Passive
Part 1,Question 2,2.5,Passive
Part 1,Question 3,5.0,Passive
Part 1,Question 3,3.75,Detractor
Part 1,Question 3,3.75,Passive
Part 1,Question 3,2.5,Detractor
Part 1,Question 3,5.0,Passive
Part 1,Question 3,3.75,Passive
Part 1,Question 3,1.25,Promoter
Part 1,Question 3,5.0,Passive
Part 1,Question 3,3.75,Detractor
Part 1,Question 3,3.75,Passive
Part 1,Question 3,5.0,Promoter
Part 1,Question 3,3.75,Passive
Part 1,Question 3,3.75,Passive
Part 1,Question 3,3.75,Passive
Part 1,Question 3,5.0,Passive
Part 1,Question 3,2.5,Passive
Part 1,Question 3,3.75,Passive
Part 1,Question 3,3.75,Promoter
Part 1,Question 3,5.0,Promoter
Part 1,Question 3,3.75,Passive
Part 1,Question 3,3.75,Detractor
Part 1,Question 3,3.75,Passive
Part 1,Question 3,3.75,Passive
Part 1,Question 3,2.5,Detractor
Part 1,Question 3,3.75,Passive
Part 1,Question 3,2.5,Detractor
Part 1,Question 3,3.75,Promoter
Part 1,Question 3,2.5,Passive
Part 1,Question 3,2.5,Passive
Part 1,Question 3,3.75,Promoter
Part 1,Question 3,2.5,Detractor
Part 1,Question 3,3.75,Promoter
Part 1,Question 3,5.0,Passive
Part 1,Question 3,2.5,Passive
Part 1,Question 3,2.5,Passive
Part 1,Question 3,5.0,Promoter
Part 1,Question 3,5.0,Passive
Part 1,Question 3,2.5,Passive
Part 1,Question 3,0.0,Detractor
Part 1,Question 3,3.75,Detractor
Part 1,Question 3,3.75,Promoter
Part 1,Question 3,3.75,Passive
Part 1,Question 3,3.75,Passive
Part 1,Question 3,3.75,Promoter
Part 1,Question 3,3.75,Passive
Part 1,Question 3,5.0,Passive
Part 1,Question 3,2.5,Detractor
Part 1,Question 3,3.75,Passive
Part 1,Question 3,5.0,Promoter
Part 1,Question 3,1.25,Detractor
Part 1,Question 3,5.0,Promoter
Part 1,Question 3,3.75,Detractor
Part 1,Question 3,2.5,Detractor
Part 1,Question 3,5.0,Passive
Part 1,Question 3,1.25,Passive
Part 1,Question 3,3.75,Passive
Part 1,Question 3,5.0,Promoter
Part 1,Question 3,5.0,Detractor
Part 1,Question 3,3.75,Passive
Part 1,Question 3,3.75,Passive
Part 1,Question 3,3.75,Promoter
Part 1,Question 3,3.75,Passive
Part 1,Question 3,2.5,Passive
Part 1,Question 3,5.0,Passive
Part 2,Question 1,2.5,Passive
Part 2,Question 1,2.5,Detractor
Part 2,Question 1,2.5,Passive
Part 2,Question 1,3.75,Detractor
Part 2,Question 1,5.0,Passive
Part 2,Question 1,5.0,Passive
Part 2,Question 1,5.0,Promoter
Part 2,Question 1,2.5,Passive
Part 2,Question 1,1.25,Detractor
Part 2,Question 1,3.75,Passive
Part 2,Question 1,5.0,Promoter
Part 2,Question 1,3.75,Passive
Part 2,Question 1,3.75,Passive
Part 2,Question 1,3.75,Passive
Part 2,Question 1,2.5,Passive
Part 2,Question 1,3.75,Passive
Part 2,Question 1,2.5,Passive
Part 2,Question 1,5.0,Promoter
Part 2,Question 1,3.75,Promoter
Part 2,Question 1,3.75,Passive
Part 2,Question 1,3.75,Detractor
Part 2,Question 1,5.0,Passive
Part 2,Question 1,3.75,Passive
Part 2,Question 1,1.25,Detractor
Part 2,Question 1,2.5,Passive
Part 2,Question 1,2.5,Detractor
Part 2,Question 1,3.75,Promoter
Part 2,Question 1,2.5,Passive
Part 2,Question 1,3.75,Passive
Part 2,Question 1,2.5,Promoter
Part 2,Question 1,2.5,Detractor
Part 2,Question 1,5.0,Promoter
Part 2,Question 1,1.25,Passive
Part 2,Question 1,3.75,Passive
Part 2,Question 1,3.75,Passive
Part 2,Question 1,5.0,Promoter
Part 2,Question 1,5.0,Passive
Part 2,Question 1,2.5,Passive
Part 2,Question 1,1.25,Detractor
Part 2,Question 1,1.25,Detractor
Part 2,Question 1,3.75,Promoter
Part 2,Question 1,5.0,Passive
Part 2,Question 1,1.25,Passive
Part 2,Question 1,3.75,Promoter
Part 2,Question 1,1.25,Passive
Part 2,Question 1,1.25,Passive
Part 2,Question 1,2.5,Detractor
Part 2,Question 1,5.0,Passive
Part 2,Question 1,3.75,Promoter
Part 2,Question 1,2.5,Detractor
Part 2,Question 1,5.0,Promoter
Part 2,Question 1,2.5,Detractor
Part 2,Question 1,2.5,Detractor
Part 2,Question 1,3.75,Passive
Part 2,Question 1,3.75,Passive
Part 2,Question 1,2.5,Passive
Part 2,Question 1,5.0,Promoter
Part 2,Question 1,5.0,Detractor
Part 2,Question 1,5.0,Passive
Part 2,Question 1,5.0,Passive
Part 2,Question 1,3.75,Promoter
Part 2,Question 1,3.75,Passive
Part 2,Question 1,1.25,Passive
Part 2,Question 1,3.75,Passive
Part 2,Question 2,2.5,Passive
Part 2,Question 2,0.0,Detractor
Part 2,Question 2,2.5,Passive
Part 2,Question 2,2.5,Detractor
Part 2,Question 2,3.75,Passive
Part 2,Question 2,3.75,Passive
Part 2,Question 2,5.0,Promoter
Part 2,Question 2,1.25,Passive
Part 2,Question 2,2.5,Detractor
Part 2,Question 2,3.75,Passive
Part 2,Question 2,5.0,Promoter
Part 2,Question 2,2.5,Passive
Part 2,Question 2,2.5,Passive
Part 2,Question 2,3.75,Passive
Part 2,Question 2,0.0,Passive
Part 2,Question 2,3.75,Passive
Part 2,Question 2,2.5,Passive
Part 2,Question 2,3.75,Promoter
Part 2,Question 2,3.75,Promoter
Part 2,Question 2,5.0,Passive
Part 2,Question 2,3.75,Detractor
Part 2,Question 2,5.0,Passive
Part 2,Question 2,3.75,Passive
Part 2,Question 2,1.25,Detractor
Part 2,Question 2,3.75,Passive
Part 2,Question 2,1.25,Detractor
Part 2,Question 2,3.75,Promoter
Part 2,Question 2,2.5,Passive
Part 2,Question 2,3.75,Passive
Part 2,Question 2,2.5,Promoter
Part 2,Question 2,2.5,Detractor
Part 2,Question 2,5.0,Promoter
Part 2,Question 2,0.0,Passive
Part 2,Question 2,3.75,Passive
Part 2,Question 2,3.75,Passive
Part 2,Question 2,0.0,Promoter
Part 2,Question 2,5.0,Passive
Part 2,Question 2,3.75,Passive
Part 2,Question 2,1.25,Detractor
Part 2,Question 2,2.5,Detractor
Part 2,Question 2,1.25,Promoter
Part 2,Question 2,5.0,Passive
Part 2,Question 2,1.25,Passive
Part 2,Question 2,5.0,Promoter
Part 2,Question 2,0.0,Passive
Part 2,Question 2,0.0,Passive
Part 2,Question 2,1.25,Detractor
Part 2,Question 2,3.75,Passive
Part 2,Question 2,5.0,Promoter
Part 2,Question 2,1.25,Detractor
Part 2,Question 2,5.0,Promoter
Part 2,Question 2,0.0,Detractor
Part 2,Question 2,2.5,Detractor
Part 2,Question 2,3.75,Passive
Part 2,Question 2,0.0,Passive
Part 2,Question 2,2.5,Passive
Part 2,Question 2,5.0,Promoter
Part 2,Question 2,2.5,Detractor
Part 2,Question 2,3.75,Passive
Part 2,Question 2,3.75,Passive
Part 2,Question 2,5.0,Promoter
Part 2,Question 2,3.75,Passive
Part 2,Question 2,1.25,Passive
Part 2,Question 2,3.75,Passive
Part 2,Question 3,3.75,Passive
Part 2,Question 3,1.25,Detractor
Part 2,Question 3,2.5,Passive
Part 2,Question 3,2.5,Detractor
Part 2,Question 3,2.5,Passive
Part 2,Question 3,5.0,Passive
Part 2,Question 3,1.25,Promoter
Part 2,Question 3,3.75,Passive
Part 2,Question 3,1.25,Detractor
Part 2,Question 3,3.75,Passive
Part 2,Question 3,5.0,Promoter
Part 2,Question 3,2.5,Passive
Part 2,Question 3,2.5,Passive
Part 2,Question 3,3.75,Passive
Part 2,Question 3,5.0,Passive
Part 2,Question 3,2.5,Passive
Part 2,Question 3,1.25,Passive
Part 2,Question 3,5.0,Promoter
Part 2,Question 3,5.0,Promoter
Part 2,Question 3,3.75,Passive
Part 2,Question 3,2.5,Detractor
Part 2,Question 3,3.75,Passive
Part 2,Question 3,3.75,Passive
Part 2,Question 3,2.5,Detractor
Part 2,Question 3,2.5,Passive
Part 2,Question 3,3.75,Detractor
Part 2,Question 3,3.75,Promoter
Part 2,Question 3,3.75,Passive
Part 2,Question 3,3.75,Passive
Part 2,Question 3,2.5,Promoter
Part 2,Question 3,1.25,Detractor
Part 2,Question 3,5.0,Promoter
Part 2,Question 3,2.5,Passive
Part 2,Question 3,2.5,Passive
Part 2,Question 3,3.75,Passive
Part 2,Question 3,5.0,Promoter
Part 2,Question 3,3.75,Passive
Part 2,Question 3,3.75,Passive
Part 2,Question 3,2.5,Detractor
Part 2,Question 3,2.5,Detractor
Part 2,Question 3,2.5,Promoter
Part 2,Question 3,3.75,Passive
Part 2,Question 3,3.75,Passive
Part 2,Question 3,3.75,Promoter
Part 2,Question 3,2.5,Passive
Part 2,Question 3,5.0,Passive
Part 2,Question 3,2.5,Detractor
Part 2,Question 3,3.75,Passive
Part 2,Question 3,5.0,Promoter
Part 2,Question 3,1.25,Detractor
Part 2,Question 3,5.0,Promoter
Part 2,Question 3,3.75,Detractor
Part 2,Question 3,2.5,Detractor
Part 2,Question 3,3.75,Passive
Part 2,Question 3,2.5,Passive
Part 2,Question 3,3.75,Passive
Part 2,Question 3,5.0,Promoter
Part 2,Question 3,5.0,Detractor
Part 2,Question 3,3.75,Passive
Part 2,Question 3,3.75,Passive
Part 2,Question 3,3.75,Promoter
Part 2,Question 3,3.75,Passive
Part 2,Question 3,2.5,Passive
